cnae_nota,id_cidade_empresa,regime_tributacao_empresa,id_servico_prestado_nota,id_local_de_prestacao_nota,id_natureza_operacao_do_servico,aliquota_iss_nota,iss_retido_nota,aliquota_inss_nota,quantidade_empresas,quantidade_notas,total_empresas_grupo,total_notas_grupo
122900,7953,SIMPLES_NACIONAL,006ae41b-4af3-41dd-9712-8c8dd65cc83e,7953,,3.22,false,,1,3,1,3
154700,6308,NORMAL,341b3cfe-2b96-4b81-b784-b02f3ac6f0e2,6006,,4,true,,1,2,5,19
154700,6308,NORMAL,341b3cfe-2b96-4b81-b784-b02f3ac6f0e2,6308,,5,false,,1,14,5,19
154700,6308,NORMAL,341b3cfe-2b96-4b81-b784-b02f3ac6f0e2,6396,,3.2,true,,1,1,5,19
154700,6308,NORMAL,341b3cfe-2b96-4b81-b784-b02f3ac6f0e2,6396,,4,true,,1,1,5,19
154700,6308,NORMAL,341b3cfe-2b96-4b81-b784-b02f3ac6f0e2,6709,,4,true,,1,1,5,19
159801,7994,SIMPLES_NACIONAL,565bb3bb-d100-4b0d-a7d9-7607d01645da,7994,,0,false,,1,1,1,1
161001,2889,NORMAL,75d6b2fa-ff50-496d-8f6d-265ca7873d38,2889,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3,false,,1,2,1,2
161001,4495,NORMAL,393f6368-7459-4e02-836d-e1a89259e3a1,4495,,5,false,0,1,2,1,2
161001,9668,SIMPLES_NACIONAL,2ae6888c-0e2b-4bb2-bc1a-4c2dba27c0b4,9668,14f7d7b3-7301-4cce-88fa-36b908d7a39a,5,false,,1,1,1,1
161003,4280,SIMPLES_NACIONAL,9c97fbec-3afc-4d60-8b8a-c458af38eba1,4280,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,0,false,0,1,2,1,2
161003,4389,SIMPLES_NACIONAL,6eb379ff-5332-4ecc-82ac-73c07c17ed0f,4389,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3.09,false,,1,1,1,1
161099,2290,SIMPLES_NACIONAL,9bdc3f72-5b86-4c4c-b8c0-79cb6d6db3fe,734,60c0a55d-d03c-429e-99ea-916bbc118898,5,false,0,1,1,1,1
161099,4383,SIMPLES_NACIONAL,db69b45d-4f0c-48be-85f6-7bea16559619,4383,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,0,false,0,1,7,3,11
161099,4383,SIMPLES_NACIONAL,db69b45d-4f0c-48be-85f6-7bea16559619,4383,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3.55,false,0,1,3,3,11
161099,4383,SIMPLES_NACIONAL,db69b45d-4f0c-48be-85f6-7bea16559619,4383,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,3.55,true,0,1,1,3,11
161099,6015,SIMPLES_NACIONAL,0728c931-5a3f-45ee-8197-bb8325e67c20,6015,,2,false,,1,9,1,9
162801,2174,SIMPLES_NACIONAL,18d9db35-db58-4ce1-83d0-3e9964000e55,2174,,2.33,false,0,1,1,4,5
162801,2174,SIMPLES_NACIONAL,18d9db35-db58-4ce1-83d0-3e9964000e55,2174,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2.05,false,,1,2,4,5
162801,2174,SIMPLES_NACIONAL,18d9db35-db58-4ce1-83d0-3e9964000e55,2174,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2.33,false,0,1,1,4,5
162801,2174,SIMPLES_NACIONAL,d4f7d651-4f1a-4efb-bc35-c77e73ba98af,2174,,2,false,,1,1,4,5
162801,3654,SIMPLES_NACIONAL,7edb0957-f3f1-44df-8497-e6c3e5c8a4bc,3654,,0,false,0,1,2,1,2
162801,4846,NORMAL,bdf7fd58-2f2f-422c-aa41-fe195080839e,4846,,4,false,,1,6,2,24
162801,4846,NORMAL,bdf7fd58-2f2f-422c-aa41-fe195080839e,4846,,4,false,0,1,18,2,24
162801,5933,SIMPLES_NACIONAL,50f254c6-66c7-4fac-8741-ec8ce999cc8a,5933,,3,false,,1,4,2,12
162801,5933,SIMPLES_NACIONAL,50f254c6-66c7-4fac-8741-ec8ce999cc8a,5933,,3,false,0,1,8,2,12
162801,9848,SIMPLES_NACIONAL,e402b11e-8176-4f81-916a-5e47d6ec471a,9848,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,4.26,true,0,1,2,1,2
162803,4343,SIMPLES_NACIONAL,a0698bf4-be19-4459-9443-070f6a040261,4343,,2,false,,1,2,3,24
162803,4343,SIMPLES_NACIONAL,a0698bf4-be19-4459-9443-070f6a040261,4343,,2,false,0,1,8,3,24
162803,4343,SIMPLES_NACIONAL,a0698bf4-be19-4459-9443-070f6a040261,4343,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2,false,0,1,14,3,24
162899,4113,SIMPLES_NACIONAL,1e07fae8-7c24-4a76-afba-3f26e5ce95c7,4113,,4.42,false,,1,72,2,91
162899,4113,SIMPLES_NACIONAL,1e07fae8-7c24-4a76-afba-3f26e5ce95c7,4113,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,4.42,false,,1,19,2,91
163600,1857,SIMPLES_NACIONAL,1ed2a644-a2e3-4220-b013-a723e358817e,1857,,2,false,,1,1,2,2
163600,1857,SIMPLES_NACIONAL,1ed2a644-a2e3-4220-b013-a723e358817e,1857,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2,false,0,1,1,2,2
163600,4490,SIMPLES_NACIONAL,fa6e57ff-5ed1-48c6-a6f1-78dcc196a0bc,4490,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,2.01,false,0,1,1,1,1
220901,8521,SIMPLES_NACIONAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8343,,2,true,0,1,1,4,4
220901,8521,SIMPLES_NACIONAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8607,,3,true,,1,1,4,4
220901,8521,SIMPLES_NACIONAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8607,,3,true,0,1,1,4,4
220901,8521,SIMPLES_NACIONAL,e2287d6c-379c-4fd7-9f4c-2b1d73e0210d,8521,,4,false,0,1,1,4,4
230600,1872,SIMPLES_NACIONAL,ac387f67-a5e6-4c8d-8f1f-25ba55b8ada0,6874,,5,true,,1,1,1,1
230600,6015,SIMPLES_NACIONAL,0728c931-5a3f-45ee-8197-bb8325e67c20,6015,7d9657fa-fb5d-4dc0-9299-f8ca1fe21ec6,0,false,0,1,2,1,2
230600,7880,SIMPLES_NACIONAL,d728ee1a-b945-402a-b103-a8c4a0cedd1e,7396,e0a7ace2-6006-406b-860b-88c33bf20e61,3.5,false,0,1,1,1,1
230600,8521,NORMAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8343,,2,true,0,1,2,6,10
230600,8521,NORMAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8367,,3,true,0,1,2,6,10
230600,8521,NORMAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8521,,5,true,,1,1,6,10
230600,8521,NORMAL,8eff24f4-5ed2-4a7f-ad6a-25ee6ac8da95,8521,,5,true,11,1,3,6,10
230600,8521,NORMAL,e2287d6c-379c-4fd7-9f4c-2b1d73e0210d,8521,,4,true,,1,1,6,10
